tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
1039,25,20,2,1,1,24,13,5,1,11,18,1,1,16,1,1
1040,24,19,1,1,1,23,12,4,1,10,18,1,1,17,1,1
1041,23,18,1,1,2,22,11,3,1,9,19,1,1,17,1,1
1042,22,17,1,1,3,21,10,2,1,8,20,2,1,17,1,1
1043,21,16,2,1,4,20,9,1,1,7,21,3,1,18,1,1
1044,20,15,3,1,5,19,8,1,1,6,22,4,1,18,1,1
1045,19,14,4,1,6,18,7,1,1,5,23,5,1,18,1,1
1046,18,13,5,1,7,17,6,2,1,4,24,6,1,19,1,1
1047,17,12,6,1,8,16,5,3,1,3,25,7,1,19,1,1
1048,16,11,7,1,9,15,4,4,1,2,24,8,1,19,1,1
1049,15,10,8,1,10,14,3,5,1,1,23,9,1,20,1,1
1050,14,9,9,1,11,13,2,6,1,1,22,10,1,21,1,1
1051,13,8,10,1,12,12,1,7,1,1,21,11,1,22,1,1
1052,12,7,11,1,13,11,1,8,1,2,20,12,1,23,1,1
1053,11,6,12,1,14,10,1,9,1,3,19,13,1,24,1,1
1054,10,5,13,1,15,9,2,10,1,4,18,14,1,25,1,1
1055,9,4,14,1,16,8,3,11,1,5,17,15,1,24,1,1
1056,8,3,15,1,17,7,4,12,1,6,16,16,1,23,1,1
1057,7,2,16,1,18,6,5,13,1,7,15,17,1,22,1,1
1058,6,1,17,1,19,5,6,14,1,8,14,18,1,21,1,1
1059,5,1,17,1,19,4,7,15,1,9,13,19,1,20,1,1
1060,4,1,17,1,19,3,8,16,1,10,12,20,1,19,1,1
1061,3,2,18,1,20,2,9,17,1,11,11,21,1,18,1,1
1062,2,3,19,1,20,1,10,18,1,12,10,21,1,17,1,1
1063,1,4,20,1,20,1,11,19,1,13,9,21,1,16,1,1
1064,1,5,21,1,21,1,12,20,1,14,8,22,1,15,1,1
1065,1,6,22,1,21,2,13,21,1,15,7,22,1,14,1,1
1066,2,7,23,1,21,3,14,22,1,16,6,22,1,13,1,1
1067,3,8,24,1,22,4,15,23,1,17,5,23,1,12,1,1
1068,4,9,25,1,22,5,16,24,1,18,4,24,1,11,1,1
1069,5,10,24,1,22,6,17,24,1,18,3,25,1,10,1,1
1070,6,11,23,1,23,7,18,24,1,18,2,24,1,9,1,1
1071,7,12,22,1,24,8,18,25,1,19,1,23,1,8,1,1
1072,8,13,21,1,25,9,18,25,1,19,1,22,1,7,1,1
1073,9,14,20,1,24,10,19,25,1,19,1,21,1,6,1,1
1074,10,15,19,1,23,11,19,24,1,20,2,20,1,5,1,1
1075,11,16,18,1,22,12,19,23,1,21,3,19,1,4,1,1
1076,12,17,17,1,21,13,20,22,1,22,4,18,1,3,1,1
1077,13,18,16,1,20,14,21,21,1,23,5,17,1,2,1,1
1078,14,19,15,1,19,15,22,20,1,24,6,16,1,1,1,1
1079,15,20,14,1,18,16,23,19,1,25,7,15,1,1,1,1
1080,16,20,13,1,17,17,24,18,1,24,8,14,1,1,1,1
1081,17,20,12,1,16,18,25,17,1,23,9,13,1,2,1,1
1082,18,21,11,1,15,19,24,16,1,22,10,12,1,3,1,1
1083,19,21,10,1,14,20,23,15,1,21,11,11,1,4,1,1
1084,19,21,9,1,13,20,22,14,1,20,12,10,1,5,1,1
1085,19,22,8,1,12,20,21,13,1,19,13,9,1,6,1,1
1086,20,23,7,1,11,21,20,12,1,18,14,8,1,7,1,1
1087,20,24,6,1,10,21,19,11,1,17,15,7,1,8,1,1
1088,20,25,5,1,9,21,18,10,1,16,16,6,1,9,1,1
1089,21,24,4,1,8,22,17,9,1,15,17,5,1,10,1,1
1090,22,23,3,1,7,23,16,8,1,14,18,4,1,11,1,1
1091,23,22,2,1,6,24,15,7,1,13,18,3,1,12,1,1
1092,24,21,1,1,5,25,14,6,1,12,18,2,1,13,1,1
1093,25,20,1,1,4,24,13,5,1,11,19,1,1,14,1,1
1094,24,19,1,1,3,23,12,4,1,10,19,1,1,15,1,1
1095,23,18,2,1,2,22,11,3,1,9,19,1,1,16,1,1
1096,22,17,3,1,1,21,10,2,1,8,20,2,1,17,1,1
1097,21,16,4,1,1,20,9,1,1,7,21,3,1,18,1,1
1098,20,15,5,1,1,19,8,1,1,6,22,4,1,19,1,1
1099,19,14,6,1,2,18,7,1,1,5,23,5,1,19,1,1
1100,18,13,7,1,3,17,6,1,1,4,24,6,1,19,1,1
1101,17,12,8,1,4,16,5,1,1,3,25,7,1,20,1,1
1102,16,11,9,1,5,15,4,1,1,2,24,8,1,20,1,1
1103,15,10,10,1,6,14,3,1,1,1,23,9,1,20,1,1
1104,14,9,11,1,7,13,2,1,1,1,22,10,1,21,1,1
1105,13,8,12,1,8,12,1,1,1,1,21,11,1,22,1,1
1106,12,7,13,1,9,11,1,1,1,2,20,12,1,23,1,1
1107,11,6,14,1,10,10,1,1,1,3,19,13,1,24,1,1
1108,10,5,15,1,11,9,2,1,1,4,18,14,1,25,1,1
1109,9,4,16,1,12,8,3,1,1,5,17,15,1,24,1,1
1110,8,3,17,1,13,7,4,1,1,6,16,16,1,23,1,1
1111,7,2,17,1,14,6,5,1,1,7,15,17,1,22,1,1
1112,6,1,17,1,15,5,6,1,1,8,14,18,1,21,1,1
1113,5,1,18,1,16,4,7,1,1,9,13,19,1,20,1,1
1114,4,1,18,1,17,3,8,1,1,10,12,20,1,19,1,1
1115,3,2,18,1,18,2,9,1,1,11,11,21,1,18,1,1
1116,2,3,19,1,19,1,10,1,1,12,10,22,1,17,1,1
1117,1,4,20,1,20,1,11,1,1,13,9,22,1,16,1,1
1118,1,5,21,1,21,1,12,1,1,14,8,22,1,15,1,1
1119,1,6,22,1,22,2,13,1,1,15,7,23,1,14,1,1
1120,2,7,23,1,22,3,14,1,1,16,6,23,1,13,1,1
1121,3,8,24,1,22,4,15,1,1,17,5,23,1,12,1,1
1122,4,9,25,1,23,5,16,1,1,18,4,24,1,11,1,1
1123,5,10,24,1,23,6,17,1,1,19,3,24,1,10,1,1
1124,6,11,23,1,23,7,18,1,1,19,2,24,1,9,1,1
1125,7,12,22,1,24,8,19,1,1,19,1,25,1,8,1,1
1126,8,13,21,1,24,9,19,1,1,20,1,24,1,7,1,1
1127,9,14,20,1,24,10,19,1,1,20,1,23,1,6,1,1
1128,10,15,19,1,25,11,20,1,1,20,2,22,1,5,1,1
1129,11,16,18,1,24,12,20,1,1,21,3,21,1,4,1,1
1130,12,17,17,1,23,13,20,1,1,22,4,20,1,3,1,1
1131,13,18,16,1,22,14,21,1,1,23,5,19,1,2,1,1
1132,14,19,15,1,21,15,22,1,1,24,6,18,1,1,1,1
1133,15,20,14,1,20,16,23,1,1,25,7,17,1,1,1,1
1134,16,21,13,1,19,17,24,1,1,24,8,16,1,1,1,1
1135,17,21,12,1,18,18,25,1,1,23,9,15,1,2,1,1
1136,18,21,11,1,17,19,24,1,1,22,10,14,1,3,1,1
1137,19,22,10,1,16,20,23,1,1,21,11,13,1,4,1,1
1138,20,22,9,1,15,21,22,1,1,20,12,12,1,5,1,1
1139,21,22,8,1,14,21,21,1,1,19,13,11,1,6,1,1
1140,21,23,7,1,13,21,20,1,1,18,14,10,1,7,1,1
1141,21,24,6,1,12,22,19,1,1,17,15,9,1,8,1,1
1142,22,25,5,1,11,22,18,1,1,16,16,8,1,9,1,1
1143,23,24,4,1,10,22,17,1,1,15,17,7,1,10,1,1
1144,24,23,3,1,9,23,16,1,1,14,18,6,1,11,1,1
1145,25,22,2,1,8,24,15,1,1,13,19,5,1,12,1,1
1146,24,21,1,1,7,25,14,1,1,12,19,4,1,13,1,1
1147,23,20,1,1,6,24,13,1,1,11,19,3,1,14,1,1
1148,22,19,1,1,5,23,12,1,1,10,20,2,1,15,1,1
1149,21,18,2,1,4,22,11,1,1,9,20,1,1,16,1,1
1150,20,17,3,1,3,21,10,1,1,8,20,1,1,17,1,1
1151,19,16,4,1,2,20,9,1,1,7,21,1,1,18,1,1
1152,18,15,5,1,1,19,8,1,1,6,22,2,1,19,1,1
1153,17,14,6,1,1,18,7,1,1,5,23,3,1,20,1,1
1154,16,13,7,1,1,17,6,1,1,4,24,4,1,20,1,1
1155,15,12,8,1,2,16,5,1,1,3,25,5,1,20,1,1
1156,14,11,9,1,3,15,4,1,1,2,24,6,1,21,1,1
1157,13,10,10,1,4,14,3,1,1,1,23,7,1,21,1,1
1158,12,9,11,1,5,13,2,1,1,1,22,8,1,21,1,1
1159,11,8,12,1,6,12,1,1,1,1,21,9,1,22,1,1
1160,10,7,13,1,7,11,1,1,1,2,20,10,1,23,1,1
1161,9,6,14,1,8,10,1,1,1,3,19,11,1,24,1,1
1162,8,5,15,1,9,9,2,1,1,4,18,12,1,25,1,1
1163,7,4,16,1,10,8,3,1,1,5,17,13,1,24,1,1
1164,6,3,17,1,11,7,4,1,1,6,16,14,1,23,1,1
1165,5,2,18,1,12,6,5,1,1,7,15,15,1,22,1,1
1166,4,1,18,1,13,5,6,1,1,8,14,16,1,21,1,1
1167,3,1,18,1,14,4,7,1,1,9,13,17,1,20,1,1
1168,2,1,19,1,15,3,8,1,1,10,12,18,1,19,1,1
1169,1,2,19,1,16,2,9,1,1,11,11,19,1,18,1,1
1170,1,3,19,1,17,1,10,1,1,12,10,20,1,17,1,1
1171,1,4,20,1,18,1,11,1,1,13,9,21,1,16,1,1
1172,2,5,21,1,19,1,12,1,1,14,8,22,1,15,1,1
1173,3,6,22,1,20,2,13,1,1,15,7,23,1,14,1,1
1174,4,7,23,1,21,3,14,1,1,16,6,24,1,13,1,1
1175,5,8,24,1,22,4,15,1,1,17,5,24,1,12,1,1
1176,6,9,25,1,23,5,16,1,1,18,4,24,1,11,1,1
1177,7,10,24,1,24,6,17,1,1,19,3,25,1,10,1,1
1178,8,11,23,1,24,7,18,1,1,20,2,25,1,9,1,1
1179,9,12,22,1,24,8,19,1,1,21,1,25,1,8,1,1
1180,10,13,21,1,25,9,20,1,1,21,1,24,1,7,1,1
1181,11,14,20,1,25,10,20,1,1,21,1,23,1,6,1,1
1182,12,15,19,1,25,11,20,1,1,22,2,22,1,5,1,1
1183,13,16,18,1,24,12,21,1,1,23,3,21,1,4,1,1
1184,14,17,17,1,23,13,21,1,1,24,4,20,1,3,1,1
1185,15,18,16,1,22,14,21,1,1,25,5,19,1,2,1,1
1186,16,19,15,1,21,15,22,1,1,24,6,18,1,1,1,1
1187,17,20,14,1,20,16,23,1,1,23,7,17,1,1,1,1
1188,18,21,13,1,19,17,24,1,1,22,8,16,1,1,1,1
1189,19,22,12,1,18,18,25,1,1,21,9,15,1,2,1,1
1190,20,22,11,1,17,19,24,1,1,20,10,14,1,3,1,1
1191,21,22,10,1,16,20,23,1,1,19,11,13,1,4,1,1
1192,21,23,9,1,15,21,22,1,1,18,12,12,1,5,1,1
1193,21,23,8,1,14,22,21,1,1,17,13,11,1,6,1,1
1194,22,23,7,1,13,22,20,1,1,16,14,10,1,7,1,1
1195,22,24,6,1,12,22,19,1,1,15,15,9,1,8,1,1
1196,22,25,5,1,11,23,18,1,1,14,16,8,1,9,1,1
1197,23,24,4,1,10,23,17,1,1,13,17,7,1,10,1,1
1198,23,23,3,1,9,23,16,1,1,12,18,6,1,11,1,1
1199,23,22,2,1,8,24,15,1,1,11,19,5,1,12,1,1
1200,24,21,1,1,7,25,14,1,1,10,20,4,1,13,1,1
1201,25,20,1,1,6,24,13,1,1,9,20,3,1,14,1,1
1202,24,19,1,1,5,23,12,1,1,8,20,2,1,15,1,1
1203,23,18,2,1,4,22,11,1,1,7,21,1,1,16,1,1
1204,22,17,3,1,3,21,10,1,1,6,22,1,1,17,1,1
1205,21,16,4,1,2,20,9,1,1,5,23,1,1,18,1,1
1206,20,15,5,1,1,19,8,1,1,4,24,1,1,19,1,1
1207,19,14,6,1,1,18,7,1,1,3,25,1,1,20,1,1
1208,18,13,7,1,1,17,6,1,1,2,24,1,1,21,1,1
1209,17,12,8,1,1,16,5,1,1,1,23,1,1,21,1,1
1210,16,11,9,1,1,15,4,1,1,1,22,1,1,21,1,1
1211,15,10,10,1,1,14,3,1,1,1,21,1,1,22,1,1
1212,14,9,11,1,1,13,2,1,1,2,20,1,1,22,1,1
1213,13,8,12,1,1,12,1,1,1,3,19,1,1,22,1,1
1214,12,7,13,1,1,11,1,1,1,4,18,1,1,23,1,1
1215,11,6,14,1,1,10,1,1,1,5,17,1,1,24,1,1
1216,10,5,15,1,1,9,2,1,1,6,16,1,1,25,1,1
1217,9,4,16,1,1,8,3,1,1,7,15,1,1,24,1,1
1218,8,3,17,1,1,7,4,1,1,8,14,1,1,23,1,1
1219,7,2,18,1,1,6,5,1,1,9,13,1,1,22,1,1
1220,6,1,19,1,1,5,6,1,1,10,12,1,1,21,1,1
1221,5,1,19,1,1,4,7,1,1,11,11,1,1,20,1,1
1222,4,1,19,1,1,3,8,1,1,12,10,1,1,19,1,1
1223,3,2,20,1,1,2,9,1,1,13,9,1,1,18,1,1
1224,2,3,20,1,1,1,10,1,1,14,8,1,1,17,1,1
1225,1,4,20,1,1,1,11,1,1,15,7,1,1,16,1,1
1226,1,5,21,1,1,1,12,1,1,16,6,1,1,15,1,1
1227,1,6,22,1,1,2,13,1,1,17,5,1,1,14,1,1
1228,2,7,23,1,1,3,14,1,1,18,4,1,1,13,1,1
1229,3,8,24,1,1,4,15,1,1,19,3,1,1,12,1,1
1230,4,9,25,1,1,5,16,1,1,20,2,1,1,11,1,1
1231,5,10,24,1,1,6,17,1,1,21,1,1,1,10,1,1
1232,6,11,23,1,1,7,18,1,1,21,1,1,1,9,1,1
1233,7,12,22,1,1,8,19,1,1,21,1,1,1,8,1,1
1234,8,13,21,1,1,9,20,1,1,22,2,1,1,7,1,1
1235,9,14,20,1,1,10,21,1,1,22,3,1,1,6,1,1
1236,10,15,19,1,1,11,22,1,1,22,4,1,1,5,1,1
1237,11,16,18,1,1,12,22,1,1,23,5,1,1,4,1,1
1238,12,17,17,1,1,13,22,1,1,23,6,1,1,3,1,1
1239,13,18,16,1,1,14,23,1,1,23,7,1,1,2,1,1
1240,14,19,15,1,1,15,24,1,1,24,8,1,1,1,1,1
