id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger323,9,1,108,114,156,6,42,48,2
passenger324,17,1,108,140,174,32,34,66,3
passenger325,17,1,108,125,147,17,22,39,4
passenger326,24,1,108,146,177,38,31,69,5
passenger327,10,1,109,182,193,73,11,84,6
passenger328,25,1,110,967,993,857,26,883,7
passenger329,11,1,110,178,196,68,18,86,8
passenger330,18,1,110,119,144,9,25,34,9
passenger331,17,1,110,152,192,42,40,82,10
passenger332,21,1,111,220,246,109,26,135,11
passenger333,13,1,111,148,194,37,46,83,12
passenger334,21,1,112,123,161,11,38,49,13
passenger335,10,1,112,133,146,21,13,34,14
passenger336,13,1,112,124,174,12,50,62,15
passenger337,13,1,113,124,146,11,22,33,0
passenger338,18,1,114,115,142,1,27,28,1
passenger339,16,1,114,125,156,11,31,42,2
passenger340,3,1,114,122,174,8,52,60,3
passenger341,21,1,115,119,147,4,28,32,4
passenger342,20,1,115,138,177,23,39,62,5
passenger343,4,1,115,148,169,33,21,54,6
passenger344,25,1,115,967,993,852,26,878,7
passenger345,17,1,116,118,162,2,44,46,8
passenger346,4,1,116,139,144,23,5,28,9
passenger347,13,1,116,144,192,28,48,76,10
passenger348,22,1,117,277,304,160,27,187,11
passenger349,8,1,117,139,194,22,55,77,12
passenger350,24,1,117,198,223,81,25,106,13
passenger351,12,1,117,129,146,12,17,29,14
passenger352,7,1,118,186,194,68,8,76,15
passenger353,10,1,118,129,146,11,17,28,0
passenger354,14,1,118,125,142,7,17,24,1
passenger355,18,1,119,129,156,10,27,37,2
passenger356,24,1,120,211,242,91,31,122,3
passenger357,6,1,120,160,211,40,51,91,4
passenger358,25,1,120,217,243,97,26,123,5
passenger359,14,1,120,126,143,6,17,23,6
passenger360,5,1,121,131,137,10,6,16,7
passenger361,24,1,121,133,162,12,29,41,8
passenger362,10,1,121,129,144,8,15,23,9
passenger363,16,1,123,149,192,26,43,69,10
passenger364,18,1,123,157,190,34,33,67,11
passenger365,2,1,124,127,130,3,3,6,12
passenger366,7,1,124,153,161,29,8,37,13
passenger367,18,1,124,177,206,53,29,82,14
passenger368,9,1,124,206,216,82,10,92,15
passenger369,2,1,124,143,146,19,3,22,0
