id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger290,13,17,95,95,147,0,52,52,9
passenger291,3,21,95,102,128,7,26,33,14
passenger292,12,23,96,149,201,53,52,105,11
passenger293,14,18,96,98,104,2,6,8,11
passenger294,21,4,96,148,203,52,55,107,15
passenger295,13,1,96,96,118,0,22,22,9
passenger296,12,21,97,98,125,1,27,28,13
passenger297,22,8,97,151,195,54,44,98,15
passenger298,10,14,98,98,142,0,44,44,8
passenger299,10,5,98,98,111,0,13,13,8
passenger300,8,11,98,102,133,4,31,35,8
passenger301,13,24,98,99,124,1,25,26,12
passenger302,14,10,99,100,110,1,10,11,10
passenger303,17,20,99,137,191,38,54,92,11
passenger304,11,13,99,133,139,34,6,40,8
passenger305,6,22,100,107,131,7,24,31,14
passenger306,22,5,100,197,238,97,41,138,11
passenger307,9,7,100,103,107,3,4,7,1
passenger308,24,2,100,120,167,20,47,67,11
passenger309,6,8,101,102,106,1,4,5,3
passenger310,15,7,101,164,195,63,31,94,10
passenger311,14,19,101,102,119,1,17,18,13
passenger312,21,3,102,113,164,11,51,62,11
passenger313,4,3,103,103,106,0,3,3,0
passenger314,23,17,104,117,137,13,20,33,11
passenger315,14,20,104,104,122,0,18,18,13
passenger316,15,6,104,164,198,60,34,94,10
passenger317,13,18,104,162,212,58,50,108,13
passenger318,1,16,106,159,188,53,29,82,7
passenger319,13,2,107,158,206,51,48,99,10
passenger320,7,12,107,107,136,0,29,29,8
passenger321,9,8,107,109,112,2,3,5,3
passenger322,17,11,108,169,185,61,16,77,10
passenger323,13,20,108,200,220,92,20,112,13
passenger324,3,9,108,108,116,0,8,8,0
passenger325,2,24,108,183,223,75,40,115,14
passenger326,5,21,108,176,214,68,38,106,14
passenger327,5,9,109,109,118,0,9,9,5
passenger328,16,21,110,110,125,0,15,15,13
passenger329,5,6,110,110,113,0,3,3,5
passenger330,23,9,110,119,158,9,39,48,12
passenger331,6,19,110,173,206,63,33,96,14
passenger332,3,22,111,206,233,95,27,122,15
passenger333,22,8,111,116,162,5,46,51,12
passenger334,3,11,112,112,132,0,20,20,9
passenger335,9,24,112,384,413,272,29,301,14
passenger336,16,24,112,112,132,0,20,20,13
passenger337,19,18,113,135,139,22,4,26,12
passenger338,3,2,114,115,118,1,3,4,2
passenger339,2,15,114,115,141,1,26,27,9
passenger340,6,25,114,279,330,165,51,216,15
passenger341,4,24,115,117,155,2,38,40,15
passenger342,17,3,115,120,147,5,27,32,6
passenger343,2,10,115,115,129,0,14,14,9
passenger344,9,8,115,116,119,1,3,4,3
passenger345,14,4,116,130,144,14,14,28,6
passenger346,4,18,116,117,141,1,24,25,15
passenger347,25,7,116,127,165,11,38,49,12
passenger348,24,9,117,120,154,3,34,37,11
passenger349,9,3,117,117,125,0,8,8,0
passenger350,11,13,117,136,183,19,47,66,7
passenger351,17,4,117,120,144,3,24,27,6
passenger352,5,11,118,121,151,3,30,33,10
passenger353,2,4,118,118,122,0,4,4,4
passenger354,16,24,118,153,223,35,70,105,14
passenger355,15,4,119,127,144,8,17,25,6
passenger356,25,14,120,123,143,3,20,23,11
passenger357,18,5,120,153,178,33,25,58,13
passenger358,15,2,120,127,151,7,24,31,6
passenger359,16,6,120,124,140,4,16,20,6
passenger360,23,2,121,121,172,0,51,51,12
passenger361,17,4,121,121,144,0,23,23,6
passenger362,18,13,121,147,160,26,13,39,14
passenger363,25,17,123,123,137,0,14,14,11
passenger364,10,3,123,140,153,17,13,30,7
passenger365,15,12,124,124,133,0,9,9,7
passenger366,2,15,124,168,190,44,22,66,8
passenger367,6,1,124,125,135,1,10,11,1
passenger368,10,6,124,140,148,16,8,24,7
passenger369,2,11,124,168,179,44,11,55,8
passenger370,6,4,125,125,130,0,5,5,1
passenger371,12,2,125,133,156,8,23,31,7
passenger372,25,12,125,125,149,0,24,24,11
passenger373,25,23,125,288,292,163,4,167,11
passenger374,25,14,126,376,395,250,19,269,11
passenger375,11,18,126,164,203,38,39,77,14
passenger376,3,22,126,206,233,80,27,107,15
passenger377,9,1,126,126,139,0,13,13,5
passenger378,6,7,126,126,143,0,17,17,1
passenger379,1,17,126,131,169,5,38,43,10
passenger380,3,22,126,206,233,80,27,107,15
passenger381,12,18,127,256,302,129,46,175,14
passenger382,9,4,127,127,134,0,7,7,5
passenger383,5,17,128,139,169,11,30,41,10
passenger384,18,7,128,147,170,19,23,42,14
passenger385,9,24,129,192,239,63,47,110,15
passenger386,22,11,129,141,168,12,27,39,13
passenger387,7,8,130,131,134,1,3,4,3
passenger388,14,15,130,130,185,0,55,55,6
passenger389,5,2,131,132,145,1,13,14,4
passenger390,13,20,131,182,229,51,47,98,15
passenger391,4,11,131,136,151,5,15,20,10
passenger392,5,7,132,132,136,0,4,4,4
passenger393,16,8,132,188,208,56,20,76,6
passenger394,7,25,133,198,242,65,44,109,15
passenger395,5,24,133,282,327,149,45,194,15
passenger396,14,2,133,180,220,47,40,87,6
passenger397,11,15,133,133,141,0,8,8,9
passenger398,7,14,133,169,204,36,35,71,9
passenger399,17,7,133,191,211,58,20,78,6
passenger400,21,12,134,209,247,75,38,113,12
passenger401,25,3,135,135,184,0,49,49,13
passenger402,9,19,135,270,314,135,44,179,15
passenger403,23,6,136,138,173,2,35,37,14
passenger404,25,5,136,136,178,0,42,42,13
passenger405,11,8,136,136,144,0,8,8,7
