id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger404,25,5,136,225,264,89,39,128,3
passenger405,11,8,136,136,143,0,7,7,10
passenger406,11,23,136,136,193,0,57,57,10
passenger407,19,20,136,139,142,3,3,6,15
passenger408,7,24,136,137,194,1,57,58,9
passenger409,11,17,137,137,153,0,16,16,14
passenger410,18,17,137,137,140,0,3,3,7
passenger411,16,13,138,139,195,1,56,57,11
passenger412,17,23,138,142,160,4,18,22,11
passenger413,10,13,138,139,173,1,34,35,10
passenger414,5,9,139,143,159,4,16,20,9
passenger415,20,17,139,140,163,1,23,24,8
passenger416,6,14,140,140,172,0,32,32,9
passenger417,21,4,140,141,186,1,45,46,4
passenger418,2,10,141,144,167,3,23,26,13
passenger419,17,8,141,141,162,0,21,21,7
passenger420,21,22,142,142,239,0,97,97,4
passenger421,14,10,142,143,158,1,15,16,0
passenger422,2,21,142,144,186,2,42,44,13
passenger423,23,12,142,145,170,3,25,28,8
passenger424,13,19,142,199,260,57,61,118,14
passenger425,18,4,143,144,171,1,27,28,1
passenger426,17,24,144,144,163,0,19,19,11
passenger427,19,13,144,146,160,2,14,16,4
passenger428,14,7,144,144,163,0,19,19,0
passenger429,17,7,144,147,162,3,15,18,1
passenger430,9,7,144,144,151,0,7,7,5
passenger431,9,10,145,145,172,0,27,27,5
passenger432,3,18,145,149,180,4,31,35,12
passenger433,12,24,145,152,194,7,42,49,0
passenger434,5,17,145,145,177,0,32,32,12
passenger435,5,14,145,145,170,0,25,25,12
passenger436,13,12,146,147,152,1,5,6,0
passenger437,17,21,146,146,156,0,10,10,11
passenger438,8,22,147,148,204,1,56,57,5
passenger439,5,8,147,147,175,0,28,28,2
passenger440,8,24,147,148,210,1,62,63,5
passenger441,3,10,148,149,162,1,13,14,9
passenger442,11,21,149,155,189,6,34,40,0
passenger443,13,25,149,149,199,0,50,50,0
passenger444,19,18,149,149,153,0,4,4,3
passenger445,19,5,149,149,181,0,32,32,3
passenger446,12,15,150,150,201,0,51,51,7
passenger447,6,3,150,154,159,4,5,9,5
passenger448,4,20,150,150,199,0,49,49,2
passenger449,17,8,150,150,178,0,28,28,4
passenger450,19,18,150,150,153,0,3,3,3
passenger451,21,23,151,155,219,4,64,68,8
passenger452,23,5,151,151,185,0,34,34,8
passenger453,20,10,151,158,176,7,18,25,8
passenger454,11,17,151,153,205,2,52,54,7
passenger455,16,11,151,153,169,2,16,18,4
passenger456,25,5,151,155,191,4,36,40,15
passenger457,3,1,152,152,238,0,86,86,6
passenger458,21,11,152,155,173,3,18,21,8
passenger459,11,17,152,155,183,3,28,31,0
passenger460,11,15,152,153,201,1,48,49,7
passenger461,2,4,152,154,166,2,12,14,2
passenger462,24,12,152,152,172,0,20,20,15
passenger463,5,10,153,153,162,0,9,9,12
passenger464,9,7,153,159,165,6,6,12,7
passenger465,8,19,153,156,183,3,27,30,9
passenger466,3,8,155,155,166,0,11,11,10
passenger467,12,14,155,168,172,13,4,17,9
passenger468,23,24,155,160,163,5,3,8,11
passenger469,8,14,155,156,172,1,16,17,9
passenger470,1,16,155,157,191,2,34,36,2
passenger471,4,2,155,155,235,0,80,80,6
passenger472,17,5,155,156,181,1,25,26,3
passenger473,12,3,156,166,189,10,23,33,4
passenger474,19,20,156,185,263,29,78,107,14
passenger475,15,21,156,156,236,0,80,80,4
passenger476,11,5,156,156,168,0,12,12,1
passenger477,4,6,157,157,162,0,5,5,6
passenger478,6,9,158,162,167,4,5,9,6
passenger479,6,15,158,162,177,4,15,19,6
passenger480,4,16,158,158,180,0,22,22,6
passenger481,9,18,159,159,180,0,21,21,12
passenger482,13,23,159,160,244,1,84,85,4
passenger483,11,8,159,165,233,6,68,74,12
passenger484,15,17,160,160,207,0,47,47,3
passenger485,11,14,160,165,172,5,7,12,9
passenger486,12,8,160,278,284,118,6,124,4
passenger487,8,23,161,161,190,0,29,29,13
passenger488,17,3,161,163,189,2,26,28,8
passenger489,25,18,162,166,182,4,16,20,11
passenger490,2,19,162,162,196,0,34,34,2
passenger491,15,23,162,162,219,0,57,57,3
passenger492,13,8,162,162,178,0,16,16,4
passenger493,9,16,163,228,274,65,46,111,13
passenger494,21,23,163,163,169,0,6,6,14
passenger495,20,16,163,184,210,21,26,47,12
passenger496,13,9,163,163,175,0,12,12,4
passenger497,20,8,164,186,223,22,37,59,9
passenger498,7,22,164,164,215,0,51,51,1
passenger499,15,9,165,167,181,2,14,16,15
passenger500,22,25,166,166,175,0,9,9,14
passenger501,8,14,166,166,176,0,10,10,10
passenger502,13,18,166,166,210,0,44,44,3
passenger503,24,14,166,172,196,6,24,30,14
passenger504,20,15,166,184,214,18,30,48,12
passenger505,23,11,167,169,203,2,34,36,14
passenger506,10,11,167,167,170,0,3,3,13
passenger507,25,16,167,167,188,0,21,21,11
passenger508,4,2,167,167,249,0,82,82,2
passenger509,13,21,167,167,215,0,48,48,3
passenger510,12,15,167,168,176,1,8,9,9
passenger511,20,13,168,184,222,16,38,54,12
passenger512,23,16,169,169,192,0,23,23,14
passenger513,19,20,171,179,263,8,84,92,11
passenger514,16,2,171,174,247,3,73,76,12
passenger515,11,4,171,171,186,0,15,15,4
passenger516,13,4,172,173,232,1,59,60,10
passenger517,13,9,172,173,219,1,46,47,10
passenger518,1,4,172,176,184,4,8,12,1
passenger519,13,2,172,173,235,1,62,63,6
passenger520,22,19,172,172,179,0,7,7,11
passenger521,18,5,173,182,209,9,27,36,11
passenger522,20,16,173,176,188,3,12,15,11
passenger523,10,1,173,173,258,0,85,85,5
passenger524,14,20,173,173,186,0,13,13,9
passenger525,1,2,173,177,180,4,3,7,7
passenger526,10,13,174,174,183,0,9,9,5
passenger527,12,11,174,174,177,0,3,3,15
passenger528,7,2,175,181,192,6,11,17,4
passenger529,1,3,175,176,181,1,5,6,1
passenger530,18,20,176,180,184,4,4,8,12
passenger531,11,2,176,177,196,1,19,20,15
passenger532,11,25,176,177,213,1,36,37,5
passenger533,7,13,176,181,215,5,34,39,4
passenger534,14,9,176,176,221,0,45,45,0
passenger535,11,12,176,177,180,1,3,4,5
passenger536,12,18,177,180,195,3,15,18,5
passenger537,15,2,177,177,236,0,59,59,9
passenger538,1,11,177,177,193,0,16,16,1
passenger539,23,1,177,189,250,12,61,73,12
passenger540,2,17,177,192,224,15,32,47,4
passenger541,12,6,178,180,247,2,67,69,5
passenger542,6,17,178,198,224,20,26,46,4
passenger543,14,16,178,178,184,0,6,6,10
passenger544,8,14,178,178,219,0,41,41,4
passenger545,22,8,179,180,210,1,30,31,14
passenger546,10,5,179,179,244,0,65,65,2
passenger547,16,1,180,180,242,0,62,62,0
passenger548,7,18,181,203,227,22,24,46,4
passenger549,1,25,181,189,225,8,36,44,3
passenger550,11,10,181,182,233,1,51,52,2
passenger551,14,16,182,186,191,4,5,9,5
passenger552,12,23,183,185,204,2,19,21,2
passenger553,25,6,184,193,239,9,46,55,12
passenger554,18,8,184,184,202,0,18,18,11
passenger555,25,7,185,196,235,11,39,50,13
passenger556,8,18,186,188,208,2,20,22,7
passenger557,20,4,186,186,229,0,43,43,9
passenger558,14,9,187,187,239,0,52,52,5
passenger559,16,14,187,188,192,1,4,5,11
passenger560,25,24,187,196,199,9,3,12,13
passenger561,17,23,188,256,274,68,18,86,14
passenger562,5,19,188,191,235,3,44,47,15
passenger563,20,4,188,188,229,0,41,41,6
passenger564,23,18,188,189,206,1,17,18,12
passenger565,9,13,189,191,197,2,6,8,7
passenger566,13,23,189,195,270,6,75,81,11
passenger567,25,21,189,193,201,4,8,12,12
passenger568,17,3,190,256,330,66,74,140,14
passenger569,23,4,191,191,229,0,38,38,9
passenger570,5,2,191,191,196,0,5,5,15
passenger571,24,13,193,193,220,0,27,27,13
passenger572,6,3,193,194,251,1,57,58,8
passenger573,11,19,194,194,208,0,14,14,1
passenger574,25,14,195,195,219,0,24,24,12
passenger575,16,21,195,203,212,8,9,17,1
passenger576,23,7,196,204,238,8,34,42,2
passenger577,25,13,196,196,220,0,24,24,13
passenger578,24,3,196,196,236,0,40,40,0
passenger579,3,23,197,217,270,20,53,73,11
passenger580,17,5,197,203,229,6,26,32,10
passenger581,23,3,197,197,232,0,35,35,6
passenger582,18,6,197,197,247,0,50,50,5
passenger583,2,21,197,197,239,0,42,42,15
passenger584,22,3,198,198,233,0,35,35,9
passenger585,3,16,198,217,253,19,36,55,11
passenger586,1,19,198,200,235,2,35,37,15
passenger587,23,19,198,198,204,0,6,6,6
passenger588,6,5,198,198,291,0,93,93,4
passenger589,18,2,198,198,255,0,57,57,5
passenger590,14,12,199,199,242,0,43,43,1
passenger591,19,6,199,199,226,0,27,27,10
