tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
390,11,8,5,25,8,2,21,5,1,2,21,9,7,2,11,1
391,12,9,5,24,9,2,22,5,1,1,22,10,7,2,11,1
392,13,10,6,23,10,2,23,6,1,1,23,11,7,2,12,1
393,13,11,7,22,11,3,24,7,2,1,24,11,7,3,13,2
394,13,12,8,21,12,4,25,8,2,2,25,11,8,3,13,2
395,14,12,9,20,13,4,24,8,2,3,24,12,9,3,13,2
396,14,12,10,19,14,4,23,8,3,3,23,13,9,4,14,3
397,14,13,11,18,14,5,22,9,3,3,22,13,9,5,14,3
398,15,13,12,17,14,6,21,10,3,4,21,13,10,6,14,3
399,16,13,12,16,15,7,20,10,4,4,20,14,11,6,15,4
400,17,14,12,15,16,8,19,10,5,4,19,14,12,6,16,4
401,18,14,13,14,16,8,18,11,5,5,18,14,13,7,17,4
402,19,14,13,13,16,8,17,11,5,6,17,15,14,7,18,5
403,20,15,13,12,17,9,16,11,6,7,16,16,15,7,19,6
404,21,15,14,11,17,10,15,12,6,8,15,17,15,8,20,6
405,22,15,14,10,17,11,14,13,6,9,14,18,15,9,21,6
406,23,16,14,9,18,12,13,14,7,10,13,19,16,10,22,7
407,24,16,15,8,18,13,12,14,8,11,12,20,17,10,23,8
408,25,16,15,7,18,14,11,14,9,11,11,21,18,10,24,9
409,24,17,15,6,19,15,10,15,9,11,10,22,18,11,25,10
410,23,18,16,5,19,15,9,16,9,12,9,23,18,12,24,11
411,22,18,16,4,19,15,8,16,10,12,8,24,19,12,23,11
412,21,18,16,3,20,16,7,16,11,12,7,25,19,12,22,11
413,20,19,17,2,20,16,6,17,11,13,6,24,19,13,21,12
414,19,19,17,1,20,16,5,18,11,14,5,23,20,14,20,13
415,18,19,17,1,21,17,4,18,12,15,4,22,21,14,19,13
416,17,20,18,1,22,17,3,18,13,15,3,21,22,14,18,13
417,16,21,19,2,23,17,2,19,13,15,2,20,23,15,17,14
418,15,22,20,3,24,18,1,20,13,16,1,19,24,16,16,14
419,14,23,21,3,25,18,1,21,14,17,1,18,25,17,15,14
420,13,24,22,3,24,18,1,22,15,17,1,17,24,18,14,15
421,12,23,23,4,23,19,2,23,16,17,2,16,23,19,13,15
422,11,22,24,5,22,19,3,24,17,18,2,15,22,20,12,15
423,10,21,25,6,21,19,3,23,18,19,2,14,21,21,11,16
424,9,20,24,6,20,20,3,22,19,19,3,13,20,22,10,17
425,8,19,23,6,19,21,4,21,20,19,4,12,19,23,9,18
426,7,18,22,7,18,22,4,20,21,20,4,11,18,24,8,19
427,6,17,21,8,17,23,4,19,22,21,4,10,17,25,7,20
428,5,16,20,8,16,24,5,18,23,22,5,9,16,24,6,21
429,4,15,19,8,15,25,6,17,24,23,6,8,15,23,5,22
430,3,14,18,9,14,24,6,16,25,24,7,7,14,22,4,23
431,2,13,17,10,13,23,6,15,24,25,8,6,13,21,3,24
432,1,12,16,11,12,22,7,14,23,24,8,5,12,20,2,25
433,1,11,15,12,11,21,7,13,22,23,8,4,11,19,1,24
434,1,10,14,13,10,20,7,12,21,22,9,3,10,18,1,23
435,2,9,13,13,9,19,8,11,20,21,9,2,9,17,1,22
436,3,8,12,13,8,18,8,10,19,20,9,1,8,16,2,21
437,3,7,11,14,7,17,8,9,18,19,10,1,7,15,3,20
438,3,6,10,14,6,16,9,8,17,18,11,1,6,14,4,19
439,4,5,9,14,5,15,10,7,16,17,11,2,5,13,4,18
440,5,4,8,15,4,14,11,6,15,16,11,2,4,12,4,17
